"","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude"
"171",4.48,103.134523802653,102.8,"NF",910.104476,0.2756645,39.8692,16.1022,40.7867,15.9427
"172",4.48,66.6190663399,66.1,"NF",341.116237,0.4603205,39.8692,16.1022,40.0783,15.3776
"173",4.48,148.432240433135,148.2,"NF",738.045544,0.0448735,39.8692,16.1022,41.028,15.2366
"174",4.48,69.4974100236836,69,"NF",648.706948,0.476271,39.8692,16.1022,39.2534,16.2114
"175",4.48,63.0487113270366,62.5,"NF",572.944009,0.127982,39.8692,16.1022,39.4027,16.5088
"176",4.48,141.643390244656,141.4,"NF",816.994626,0.0990045,39.8692,16.1022,38.6068,15.8856
"177",4.48,57.3042755821937,56.7,"NF",805.249432,0.424219,39.8692,16.1022,40.3249,15.8019
"178",4.48,56.1171987896759,55.5,"NF",1284.697925,0.494051,39.8692,16.1022,40.1376,15.5535
"179",4.48,184.986296789789,184.8,"NF",908.405715,0.01375535,39.8692,16.1022,41.37,15.158
"180",4.48,169.403453329618,169.2,"NF",909.760821,0.0458885,39.8692,16.1022,41.1227,14.96815
"181",4.48,111.808496993744,111.5,"NF",834.060149,0.0636165,39.8692,16.1022,40.7564,15.48892
"182",4.48,75.0603090854281,74.6,"NF",738.80556,0.131649,39.8692,16.1022,39.4851,16.8158
"183",4.48,22.4877744563574,20.9,"NF",774.749229,4.118278,39.8692,16.1022,39.8772,16.3459
"184",4.48,105.72629758012,105.4,"NF",831.788837,0.0555415,39.8692,16.1022,39.0359,16.6886
"185",4.48,154.023796862693,153.8,"NF",719.555238,0.026892,39.8692,16.1022,41.135,15.365
"186",4.48,23.6072022908264,22.1,"NF",1131.513857,0.773902,39.8692,16.1022,39.8218,15.8518
"187",4.48,13.9402295533467,11.2,"NF",536.077146,7.8860215,39.8692,16.1022,39.9487,16.0224
"188",5.02,185.062259793833,184,"SS",511.624758,0.112088,44.1643,10.4458,43.3152,12.4073
"189",5.02,185.360540568914,184.3,"SS",1032.616466,0.232338,44.1643,10.4458,45.8228,10.4664
"190",5.02,25.8379565755499,16.6,"SS",883.359304,67.9305955,44.1643,10.4458,44.0624,10.597
"191",5.02,105.76979720128,103.9,"SS",1058.081505,0.7137605,44.1643,10.4458,44.7679,9.4478
"192",5.02,154.870913989684,153.6,"SS",744.53735,0.12425,44.1643,10.4458,43.3292,11.9663
"193",5.02,164.992363459646,163.8,"SS",277,0.465199,44.1643,10.4458,43.4584,12.2336
"194",5.02,162.411452798132,161.2,"SS",372.542497,1.081557,44.1643,10.4458,45.606,10.217
"195",5.02,156.95391043233,155.7,"SS",659.198177,0.142143,44.1643,10.4458,43.8011,12.3205
"196",5.02,62.5182373391957,59.3,"SS",616.915726,2.8081125,44.1643,10.4458,43.7956,10.9795
"197",5.02,116.88917828439,115.2,"SS",341.485676,0.816744,44.1643,10.4458,44.2895,11.877
"198",5.02,80.5707763398119,78.1,"SS",462.180153,3.902441,44.1643,10.4458,43.7744,11.2551
"199",5.02,190.133768699829,189.1,"SS",494.494954,0.583874,44.1643,10.4458,45.7054,9.4291
"200",5.02,194.609866142495,193.6,"SS",792.741375,0.1053165,44.1643,10.4458,42.91263,12.11214
"201",5.02,176.017186660849,174.9,"SS",402.274067,0.306637,44.1643,10.4458,45.4803,9.2321
"202",5.02,114.524582513974,112.8,"SS",237,0.6002585,44.1643,10.4458,45.1495,10.7897
"203",5.02,68.3315446920381,65.4,"SS",259.711599,6.0071985,44.1643,10.4458,44.6297,10.9492
"204",5.02,196.201630982008,195.2,"SS",553.164478,0.0833825,44.1643,10.4458,43.6292,12.7595
"205",5.02,82.3167662144232,79.9,"SS",548.95864,0.950959,44.1643,10.4458,44.3128,11.4248
"206",5.02,196.201630982008,195.2,"SS",518.414094,0.463187,44.1643,10.4458,43.263,12.5246
"207",5.02,51.6462002474529,47.7,"SS",710.677676,4.596073,44.1643,10.4458,44.5834,10.3163
"208",5.02,140.898154707576,139.5,"SS",264,0.4941905,44.1643,10.4458,45.3082,11.1724
"209",5.02,145.156742867839,143.8,"SS",315.2123,0.390201,44.1643,10.4458,45.4056,9.9307
"210",5.02,189.139234427974,188.1,"SS",334.777632,0.0529327,44.1643,10.4458,42.84906,11.90967
"211",5.02,189.039784172539,188,"SS",321,0.4345855,44.1643,10.4458,45.639971,11.609983
"212",5.02,107.341930297531,105.5,"SS",248.721221,1.6241115,44.1643,10.4458,45.0511,10.9199
"213",5.02,117.67769542271,116,"SS",1001.609884,0.393862,44.1643,10.4458,43.9048,11.847
"214",5.02,101.352848997944,99.4,"SS",301.790822,0.9307555,44.1643,10.4458,44.8778,11.1992
"215",5.02,90.2,88,"SS",208,0.6751205,44.1643,10.4458,44.8873,10.8987
"216",5.02,165.588043046592,164.4,"SS",413.017,1.013795,44.1643,10.4458,45.6429,10.504
"217",5.02,51.1847633578588,47.2,"SS",526.413598,3.009165,44.1643,10.4458,44.35085,10.9765
"218",5.02,166.481620607201,165.3,"SS",695.425411,0.2105645,44.1643,10.4458,45.6378,10.7319
"219",5.02,166.481620607201,165.3,"SS",868.680983,0.296251,44.1643,10.4458,45.4536,11.4876
"220",5.02,20.3735122156196,4.8,"SS",461.898558,15.323094,44.1643,10.4458,44.1594,10.3864
